time,temperature_2m,shortwave_radiation,cloudcover
2025-01-21 02:00:00+00:00,9.8,0.0,53
2025-01-21 03:00:00+00:00,9.6,0.0,65
2025-01-21 04:00:00+00:00,9.3,0.0,100
2025-01-21 05:00:00+00:00,9.8,0.0,83
2025-01-21 06:00:00+00:00,9.3,3.0,23
2025-01-21 07:00:00+00:00,10.0,94.0,18
2025-01-21 08:00:00+00:00,11.9,250.0,7
2025-01-21 09:00:00+00:00,13.1,398.0,21
2025-01-21 10:00:00+00:00,14.1,477.0,34
2025-01-21 11:00:00+00:00,14.7,447.0,93
2025-01-21 12:00:00+00:00,14.6,370.0,30
2025-01-21 13:00:00+00:00,14.6,249.0,41
2025-01-21 14:00:00+00:00,14.5,212.0,20
2025-01-21 15:00:00+00:00,13.8,118.0,17
2025-01-21 16:00:00+00:00,12.2,12.0,4
2025-01-21 17:00:00+00:00,11.3,0.0,7
2025-01-21 18:00:00+00:00,10.6,0.0,8
2025-01-21 19:00:00+00:00,9.8,0.0,19
2025-01-21 20:00:00+00:00,9.2,0.0,41
2025-01-21 21:00:00+00:00,8.0,0.0,100
2025-01-21 22:00:00+00:00,7.1,0.0,100
2025-01-21 23:00:00+00:00,6.7,0.0,100
2025-01-22 00:00:00+00:00,6.6,0.0,100
2025-01-22 01:00:00+00:00,8.8,0.0,19
2025-01-22 02:00:00+00:00,8.3,0.0,3
2025-01-22 03:00:00+00:00,8.1,0.0,12
2025-01-22 04:00:00+00:00,8.0,0.0,11
2025-01-22 05:00:00+00:00,7.6,0.0,55
2025-01-22 06:00:00+00:00,7.5,4.0,2
2025-01-22 07:00:00+00:00,8.5,86.0,1
2025-01-22 08:00:00+00:00,10.6,224.0,7
2025-01-22 09:00:00+00:00,11.7,364.0,4
